audio,label
"[ 0.03464464  0.07557561  0.11071305 ... -0.23949768 -0.08372264
  0.05536751]",1
"[-0.2502263  -0.3064463  -0.15030901 ... -0.14674267 -0.15521239
 -0.07920279]",1
"[-0.03159928 -0.03940853 -0.01551722 ...  0.12085414  0.08693281
  0.0113107 ]",1
"[-0.04511644 -0.11599261 -0.12432608 ...  0.3445169   0.00469849
 -0.32552093]",1
"[ 0.12497299  0.22802937  0.16776049 ...  0.14333898  0.09890088
 -0.13165987]",1
"[-0.03211873 -0.05615238 -0.09454598 ...  0.01579379 -0.01387248
 -0.00489317]",1
"[ 0.08604753  0.16898407  0.19119626 ...  0.11422369  0.07516252
 -0.00529319]",1
"[ 0.07839223  0.11168634  0.08512359 ... -0.05550955  0.02220036
  0.07226482]",1
[0.10747257 0.18022142 0.19439135 ... 0.22139415 0.3540714  0.37061486],1
"[ 0.01856475 -0.00529911 -0.0637979  ...  0.15917829  0.12749922
  0.05406561]",1
"[ 0.05620786  0.11805269  0.10733701 ... -0.10408628  0.1536768
  0.3556424 ]",1
"[-0.11400388 -0.2102668  -0.21930921 ...  0.04879287 -0.01364618
 -0.03074453]",1
"[ 0.01516622  0.00153491 -0.01921293 ... -0.24399097 -0.18891577
 -0.09702589]",1
"[ 0.00515805  0.01630896 -0.03341201 ...  0.13028997  0.14502522
  0.04579721]",1
"[-0.04570408 -0.07193045 -0.05427565 ...  0.43883994  0.2813179
  0.03850575]",1
"[-0.11309885 -0.18764493 -0.19838037 ...  0.12887451  0.02722749
 -0.10963222]",1
"[-0.02121027 -0.02465331 -0.01846236 ...  0.04664392  0.04930063
  0.06511601]",1
"[ 0.04342832  0.11649726  0.13262583 ... -0.13393886 -0.08379098
  0.0559639 ]",1
[0.         0.         0.         ... 0.02427557 0.02536644 0.04304843],0
[0.         0.         0.         ... 0.13822089 0.10362048 0.07800384],0
"[ 0.          0.          0.         ... -0.02587207 -0.03882331
 -0.018646  ]",0
"[ 0.          0.          0.         ... -0.1804245  -0.25872988
 -0.23789318]",0
[0.         0.         0.         ... 0.01630503 0.05331087 0.05093732],0
"[ 0.          0.          0.         ...  0.00119085 -0.01968196
 -0.01405744]",0
"[ 0.          0.          0.         ... -0.04538293 -0.00569826
  0.03173759]",0
[0.         0.         0.         ... 0.13451545 0.16722414 0.15476507],0
[0.         0.         0.         ... 0.10782725 0.14091682 0.1402949 ],0
"[ 0.          0.          0.         ... -0.01838709 -0.00445056
 -0.03601044]",0
"[ 0.          0.          0.         ... -0.04922021 -0.05139853
 -0.05239803]",0
"[ 0.          0.          0.         ... -0.05459832 -0.02448189
 -0.07493451]",0
"[ 0.          0.          0.         ... -0.0778489   0.05691135
  0.17613009]",0
"[ 0.          0.          0.         ... -0.10240322 -0.07413895
 -0.08337472]",0
"[ 0.          0.          0.         ... -0.43343112 -0.5005557
 -0.36720017]",0
[0.         0.         0.         ... 0.06173935 0.13145371 0.11447541],0
"[ 0.          0.          0.         ... -0.015345   -0.09760508
  0.01311306]",0
"[ 0.          0.          0.         ... -0.12245851 -0.17461348
 -0.06768773]",0
